Draft,Round,Pick,Name,Position,Signing Bonus,School Type,MLB Debut,Years in MLB,Active,Last Year,Age at Draft,Rookie Year,Bats,Throws
2010,1,36,Bryce Brentz,Batter,"$889,200",4Yr,2014,2,FALSE,2022,21,N/A,Right,Right
2010,1,37,Taylor Lindsey,Batter,"$873,000",HS,N/A,N/A,FALSE,2016,18,N/A,Left,Right
2010,1,38,Noah Syndergaard,RHP,"$600,000",HS,2015,8,FALSE,2023,17,2015,Left,Right
2010,1,39,Anthony Ranaudo,RHP,"$2,550,000",4Yr,2014,3,FALSE,2017,20,2015,Right,Right
2010,1,40,Ryan Bolden,Batter,"$829,800",HS,N/A,N/A,FALSE,2013,18,N/A,Right,Left
2010,1,41,Asher Wojciechowski,RHP,"$815,400",4Yr,2015,5,FALSE,2022,21,2015,Right,Right
2010,1,42,Drew Vettleson,Batter,"$845,000",HS,N/A,N/A,FALSE,2017,18,N/A,Left,Right
2010,1,43,Taijuan Walker,RHP,"$800,000",HS,2013,12,TRUE,2024,17,2014,Both,Right
2010,1,44,Nick Castellanos,Batter,"$3,450,000",HS,2013,12,TRUE,2024,18,2014,Right,Right
2010,1,45,Luke Jackson,RHP,"$1,545,000",HS,2015,9,TRUE,2024,18,2017,Right,Right
2010,1,46,Seth Blair,RHP,"$751,500",4Yr,N/A,N/A,FALSE,2023,21,N/A,Right,Right
2010,1,47,Pete Tago,RHP,"$982,500",HS,N/A,N/A,FALSE,2023,17,N/A,Right,Right
2010,1,48,Chance Ruffin,RHP,"$1,150,000",4Yr,2011,2,FALSE,2014,21,2013,Right,Right
2010,1,49,Mike Olt,Batter,"$717,300",4Yr,2012,3,FALSE,2019,21,2014,Right,Right
2010,1,50,Tyrell Jenkins,RHP,"$1,300,000",HS,2016,1,FALSE,2017,17,2016,Right,Right
2010,2,1,Sammy Solís,LHP,"$1,000,000",4Yr,2015,4,FALSE,2021,21,2016,Right,Left
2010,2,2,Stetson Allie,RHP,"$2,250,000",HS,N/A,N/A,FALSE,2021,19,N/A,Right,Right
2010,2,3,Todd Cunningham,Batter,"$674,100",4Yr,2013,3,FALSE,2018,21,2015,Both,Right
2010,2,4,Brett Eibner,RHP,"$1,250,000",4Yr,2016,3,FALSE,2021,21,2016,Right,Right
2010,2,5,LeVon Washington,Batter,"$1,200,000",JC,N/A,N/A,FALSE,2019,18,N/A,Left,Right
2010,2,6,J.R. Bradley,RHP,"$643,500",HS,N/A,N/A,FALSE,2017,18,N/A,Right,Right
2010,2,7,Brandon Workman,RHP,"$800,000",4Yr,2013,7,FALSE,2021,21,2013,Right,Right
2010,2,8,Vince Velasquez,RHP,"$655,830",HS,2015,9,FALSE,2023,18,2015,Right,Right
2010,2,9,Jedd Gyorko,Batter,"$614,700",4Yr,2013,8,FALSE,2020,21,2013,Right,Right
2010,2,10,Yordy Cabrera,Batter,"$1,250,000",HS,N/A,N/A,FALSE,2022,19,N/A,Right,Right
2010,2,11,Griffin Murphy,LHP,"$800,000",HS,N/A,N/A,FALSE,2015,19,N/A,Right,Left
2010,2,12,Ryan LaMarre,Batter,"$587,700",4Yr,2015,6,FALSE,2023,21,2018,Right,Left
2010,2,13,Jake Petricka,RHP,"$540,000",4Yr,2013,8,FALSE,2022,22,2014,Right,Right
2010,2,14,Jimmy Nelson,RHP,"$570,600",4Yr,2013,7,FALSE,2023,21,2014,Right,Right
2010,2,15,Reggie Golden,Batter,"$720,000",HS,N/A,N/A,FALSE,2013,18,N/A,Right,Right
2010,2,16,Jake Thompson,RHP,"$555,000",4Yr,N/A,N/A,FALSE,2016,20,N/A,Right,Right
2010,2,17,Marcus Littlewood,Batter,"$900,000",HS,N/A,N/A,FALSE,2018,18,N/A,Both,Right
2010,2,18,Drew Smyly,LHP,"$1,100,000",4Yr,2012,11,TRUE,2024,21,2012,Left,Left
2010,2,19,Kellen Sweeney,Batter,"$600,000",HS,N/A,N/A,FALSE,2014,18,N/A,Left,Right
2010,2,20,Andrelton Simmons,Batter,"$522,000",JC,2012,11,FALSE,2023,20,2012,Right,Right
2010,2,21,Niko Goodrum,Batter,"$514,800",HS,2017,7,TRUE,2024,18,2018,Both,Right
2010,2,22,Cody Buckel,RHP,"$590,000",HS,N/A,N/A,FALSE,2017,18,N/A,Right,Right
2010,2,23,Rob Rasmussen,LHP,"$499,500",4Yr,2014,2,FALSE,2015,21,2015,Right,Left
2010,2,24,Jarrett Parker,Batter,"$700,000",4Yr,2015,4,FALSE,2019,21,2016,Left,Left
2010,2,25,Jordan Swagerty,RHP,"$625,000",4Yr,N/A,N/A,FALSE,2015,20,N/A,Both,Right
2010,2,26,Chad Bettis,RHP,"$477,000",4Yr,2013,7,FALSE,2019,21,2014,Right,Right
2010,2,27,Perci Garner,RHP,"$470,700",4Yr,2016,1,FALSE,2017,21,N/A,Right,Right
2010,2,28,Ralston Cash,RHP,"$463,500",HS,N/A,N/A,FALSE,2018,18,N/A,Right,Right
2010,2,29,Derek Dietrich,Batter,"$457,200",4Yr,2013,8,FALSE,2023,20,2013,Left,Right
2010,2,30,Justin Nicolino,LHP,"$615,000",HS,2015,3,FALSE,2023,18,2015,Left,Left
2010,2,31,Daniel Tillman,RHP,"$443,700",4Yr,N/A,N/A,FALSE,2018,21,N/A,Right,Right
2010,2,32,Angelo Gumbs,Batter,"$750,000",HS,N/A,N/A,FALSE,2021,17,N/A,Right,Right
2010,3,1,Rick Hague,Batter,"$430,200",4Yr,N/A,N/A,FALSE,2016,21,N/A,Right,Right
2010,3,2,Mel Rojas,Batter,"$423,900",JC,N/A,N/A,TRUE,2024,20,N/A,Both,Right
2010,3,3,Dan Klein,RHP,"$499,900",4Yr,N/A,N/A,FALSE,2011,21,N/A,Right,Right
2010,3,4,Michael Antonio,Batter,"$411,000",HS,N/A,N/A,FALSE,2016,18,N/A,Right,Right
2010,3,5,Tony Wolters,Batter,"$1,350,000",HS,2016,7,FALSE,2023,18,2016,Left,Right
2010,3,6,Robby Rowland,RHP,"$395,000",HS,N/A,N/A,FALSE,2023,18,N/A,Both,Right
2010,3,7,Blake Forsythe,Batter,"$392,400",4Yr,N/A,N/A,FALSE,2015,20,N/A,Right,Right
2010,3,8,Austin Wates,Batter,"$550,000",4Yr,N/A,N/A,FALSE,2015,21,N/A,Right,Right
2010,3,9,Zach Cates,RHP,"$765,000",JC,N/A,N/A,FALSE,2015,20,N/A,Right,Right
2010,3,10,Aaron Shipman,Batter,"$500,000",HS,N/A,N/A,FALSE,2014,18,N/A,Left,Left
2010,3,11,Chris Hawkins,Batter,"$350,000",HS,N/A,N/A,FALSE,2013,18,N/A,Left,Right
2010,3,12,Devin Lohman,Batter,"$363,600",4Yr,N/A,N/A,FALSE,2015,21,N/A,Right,Right
2010,3,13,Addison Reed,RHP,"$358,200",4Yr,2011,8,FALSE,2019,21,2012,Left,Right
2010,3,14,Tyler Thornburg,RHP,"$351,900",4Yr,2012,9,FALSE,2022,21,2013,Right,Right
2010,3,15,Micah Gibbs,Batter,"$350,000",4Yr,N/A,N/A,FALSE,2015,21,N/A,Both,Right
2010,3,16,Ryan Brett,Batter,"$341,100",HS,2015,1,FALSE,2020,18,N/A,Both,Right
2010,3,17,Ryne Stanek,RHP,,HS,2017,8,TRUE,2024,18,2018,Right,Right
2010,3,18,Rob Brantly,Batter,"$330,300",4Yr,2012,9,TRUE,2024,20,2013,Left,Right
2010,3,19,Joe Leonard,Batter,"$324,900",4Yr,N/A,N/A,FALSE,2014,21,N/A,Right,Right
2010,3,20,Pat Dean,LHP,"$319,500",4Yr,2016,1,FALSE,2019,21,2016,Left,Left
2010,3,21,Jordan Akins,Batter,"$350,000",HS,N/A,N/A,FALSE,2013,18,N/A,Right,Right
2010,3,22,J.T. Realmuto,Batter,"$600,000",HS,2014,11,TRUE,2024,19,2015,Right,Right
2010,3,23,Carter Jurica,Batter,"$304,200",4Yr,N/A,N/A,FALSE,2013,21,N/A,Right,Right
2010,3,24,Sam Tuivailala,Batter,"$299,700",HS,2014,6,FALSE,2023,17,2016,Right,Right
2010,3,25,Josh Rutledge,Batter,"$295,000",4Yr,2012,6,FALSE,2018,21,2012,Right,Right
2010,3,26,Cameron Rupp,Batter,"$287,000",4Yr,2013,5,FALSE,2020,21,2015,Right,Right
2010,3,27,Leon Landry,Batter,"$284,400",4Yr,N/A,N/A,FALSE,2017,20,N/A,Left,Right
2010,3,28,Sean Coyle,Batter,"$1,300,000",HS,N/A,N/A,FALSE,2017,18,N/A,Right,Right
2010,3,29,Wendell Soto,Batter,"$274,500",HS,N/A,N/A,FALSE,2015,18,N/A,Both,Right
2010,3,30,Rob Segedin,Batter,"$377,500",4Yr,2016,2,FALSE,2018,21,N/A,Right,Right
2010,3,31,Marcus Knecht,Batter,"$250,000",JC,N/A,N/A,FALSE,2021,20,N/A,Right,Right
2010,3,32,Thomas Royse,RHP,"$263,500",4Yr,N/A,N/A,FALSE,2012,21,N/A,Right,Right
2010,3,33,Donn Roach,RHP,"$261,000",JC,2014,3,FALSE,2020,20,2016,Right,Right
2010,4,1,A.J. Cole,RHP,"$2,000,000",HS,2015,7,FALSE,2023,18,2016,Right,Right
2010,4,2,Nick Kingham,RHP,"$485,000",HS,2018,2,FALSE,2023,18,2018,Right,Right
2010,4,3,Trent Mummey,Batter,"$252,000",4Yr,N/A,N/A,FALSE,2014,21,N/A,Left,Left
2010,4,4,Kevin Chapman,LHP,"$250,000",4Yr,2013,4,FALSE,2018,22,2014,Left,Left
2010,4,5,Kyle Blair,RHP,"$580,000",4Yr,N/A,N/A,FALSE,2014,21,N/A,Right,Right
2010,4,6,Kevin Munson,RHP,"$243,000",4Yr,N/A,N/A,FALSE,2019,21,N/A,Right,Right
2010,4,7,Cory Vaughn,Batter,"$240,300",4Yr,N/A,N/A,FALSE,2019,21,N/A,Right,Right
2010,4,8,Bobby Doran,RHP,"$236,700",4Yr,N/A,N/A,FALSE,2015,21,N/A,Right,Right
2010,4,9,Chris Bisson,Batter,"$234,000",4Yr,N/A,N/A,FALSE,2013,20,N/A,Left,Right
2010,4,10,Chad Lewis,Batter,"$300,000",HS,N/A,N/A,FALSE,2013,18,N/A,Right,Right
2010,4,11,Sam Dyson,RHP,"$600,000",4Yr,2012,8,FALSE,2022,22,2014,Right,Right
2010,4,12,Brodie Greene,Batter,"$112,500",4Yr,N/A,N/A,FALSE,2015,22,N/A,Right,Right
2010,4,13,Matthew Grimes,RHP,,HS,N/A,N/A,FALSE,2019,18,N/A,Right,Right
2010,4,14,Hunter Morris,Batter,"$218,700",4Yr,N/A,N/A,FALSE,2015,21,N/A,Left,Right
2010,4,15,Hunter Ackerman,LHP,"$216,000",JC,N/A,N/A,FALSE,2017,19,N/A,Left,Left
2010,4,16,Austin Wood,RHP,,JC,N/A,N/A,FALSE,2016,19,N/A,Right,Right
2010,4,17,James Paxton,LHP,"$942,500",,2013,11,TRUE,2024,21,2014,Left,Left
2010,4,18,Cole Green,RHP,,4Yr,N/A,N/A,FALSE,2014,21,N/A,Right,Right
2010,4,19,David Filak,RHP,"$204,300",4Yr,N/A,N/A,FALSE,2013,20,N/A,Right,Right
2010,4,20,Eddie Rosario,Batter,"$200,000",HS,2015,10,TRUE,2024,18,2015,Left,Right
2010,4,21,Drew Robinson,Batter,"$198,000",HS,2017,3,FALSE,2021,18,2017,Left,Right
2010,4,22,Andrew Toles,Batter,,HS,2016,3,FALSE,2018,18,2017,Left,Right
2010,4,23,Seth Rosin,RHP,"$191,700",4Yr,2014,2,FALSE,2017,21,N/A,Right,Right
2010,4,24,Cody Stanley,Batter,"$189,000",4Yr,2015,1,FALSE,2019,21,N/A,Left,Right
2010,4,25,Russell Wilson,Batter,"$200,000",4Yr,N/A,N/A,FALSE,2011,21,N/A,Right,Right
2010,4,26,Bryan Morgado,LHP,"$182,700",4Yr,N/A,N/A,FALSE,2016,21,N/A,Left,Left
2010,4,27,James Baldwin,Batter,"$180,000",HS,N/A,N/A,FALSE,2015,18,N/A,Left,Right
